Type_of_well,Well_Depth,Lattitude,Longitude,pH,Eh,Cond,Temp,DO,DOC,HCO3,Cl,NO3,SO4,PO4,NH4,Al,B,Ba,Ca,Fe,K,Mg,Mn,Na,P,S,Si,SiO2,Sr,Zn,Cd,Cr,Cu,Mo,Ni,Pb,As
Shallow,30.3,23.50394,90.93749,7.65,-116,1740,29.7,0.27,4.82,304.27,580.92,1.05,22.55,0,19.39,177,0.378,0.03,38.31,2.82,5.24,37,0.31,425.62,2302.36,0.16,14.31,30.62,0.23,33.77,0,0.897422,4.47558,0,3.58527,12.9001,403.82
Deep,257.6,23.56411,91.05645,6.25,-39,4990,30.5,0.24,1.8,58.56,1358.65,3.55,158.65,0,0,122.5,0.362,0.09,244.03,9.27,13.2,213.24,0.87,399.53,273.69,50.98,23.41,50.08,2.03,62.7,0,1.34614,5.25372,0,4.82826,9.61703,8.92
Shallow,50,23.5639,91.05766,6.65,-134,319,31.4,0.16,8.41,127.37,55.84,10.65,3.79,0,0,267.05,0.051,0.05,20.41,5.51,3.35,12.36,0.19,34.76,775.64,0.52,28.3,60.53,0.14,512.6,0,1.056805,4.79174,0,4.07492,10.9897,11.98
Shallow,57.6,23.5624,91.05637,6.6,-134,373,29.9,0.31,2.91,167.14,28.72,9.06,0.31,46,0,218.97,0.029,0.03,27.68,10.31,2.68,24.02,0.32,15.68,904.93,0.08,18.42,39.41,0.24,29.55,0,0.637011,2.23806,0,0,6.49872,53.07
Shallow,27.3,23.56865,91.04143,6.41,-72,780,29.1,0.91,3.46,134.44,143.31,19.99,0.65,0,0,102.71,0.132,0.07,16.12,5.56,3.58,10.7,0.08,111.02,684.99,0.08,19.98,42.75,0.14,89.06,0,0.757587,8.509495,0,4.87499,6.34705,69.41
Shallow,90.9,23.56967,91.03861,6.4,-109,1041,29.5,0.18,4.68,304.02,128.42,24.62,0.05,1222,0,125.32,0.159,0.03,20.53,2.74,8.63,29.56,0.09,138.43,2888.33,0.15,19.58,41.9,0.19,77.4,0,0.956854,3.44355,0,3.95871,7.16808,107.21
Shallow,27.3,23.5846,91.03165,6.45,-113,588,29.3,0.37,3.05,269.38,26.55,15.7,0.32,618,0,266.13,0.033,0.02,29.92,3.92,4.26,32.02,0.16,19.36,2025.39,0.15,18.85,40.32,0.19,93.77,0,0.887185,3.82321,0,3.12899,13.098,197.04
Shallow,27.3,23.60098,90.9933,6.65,-104,453,29.4,0.51,4.13,212.04,17.29,11.16,0.53,446,0,158.28,0.038,0.03,35.51,3.64,5.16,19.53,0.12,23.48,2284.78,0.11,19.09,40.84,0.28,50.7,0,0.819022,3.50082,0,3.73539,9.60503,214.09
Shallow,24.2,23.62663,90.97089,7.12,-126,973,29.4,0.19,4.78,354.29,82.02,21.68,0.46,3099,0,217.9,0.153,0.02,16.37,1.49,7.04,27.04,0.07,132.17,4313.18,0.17,17.78,38.03,0.16,70.64,0,1.05658,4.328635,0,3.40173,10.8094,280.29
Deep,212.1,23.6275,90.97053,6.37,-15,2640,29.6,0.71,2.59,108.09,732.69,2.91,25.84,0,0.22,231.06,0.332,0.19,92.32,3.74,5.32,37.34,0.36,354.51,274.79,9.25,25.43,54.41,0.64,345.34,0,1.24212,4.37433,0,3.65113,26.1042,15.26
Shallow,50,23.70165,91.04601,6.77,-83,759,28.8,0.34,3.38,314.52,68.56,10.69,0.36,179,0,220.87,0.072,0.27,34.02,1.74,5.39,44.14,0.78,53.62,845.09,0.17,10.44,22.34,0.3,82.66,0,0.978027,4.17712,2.68558,4.52418,17.1302,112.29
Shallow,27.3,23.6629,90.9964,7.32,-134,1076,29,0.17,10.29,272.79,32.53,14.95,1.16,1459,0,189.27,0.103,0.03,17.44,2.64,4.83,19.91,0.11,82.29,3208.98,0.21,17.5,37.43,0.14,144.36,0,0.975472,6.50473,0,5.61856,19.5069,199.24
Deep,225.8,23.67105,91.01741,6.27,-25,548,29.3,0.91,2.31,94.92,115.38,2.75,3.44,0,0.73,574,0.051,0.07,41.81,1.81,3.06,16.9,0.32,35.24,223.26,1.25,26.95,57.65,0.29,603.6,0,1.54478,7.334765,0,3.710085,19.5481,17
Shallow,19.7,23.68879,91.03846,7.17,-10,551,29.1,0.27,9.97,267.67,18.31,12.14,0.7,457,0,218.06,0.027,0.05,28.31,4.06,21.81,31.53,0.12,14.17,2207.01,0.24,18.77,40.16,0.28,135.22,0,0.829142,10.43465,0,3.10447,10.1993,117.24
Deep,193.9,23.66851,91.03066,6.46,-21,1076,28.9,0.33,1.46,121.02,267.55,1.84,3.47,0,0.16,119.87,0.122,0.13,63.57,5.71,3.04,23.6,0.31,100.71,319.4,1.05,29.45,62.99,0.41,100.17,0,0.638562,4.25121,0,3.06706,7.53055,2.6
Shallow,43.9,23.67759,91.03634,7.54,-126,661,29.1,0.21,3.08,356,18.38,17.24,0.49,1192,0.63,230.7,0.113,0.09,14.56,1.82,6.49,28.86,0.45,92.22,2301.01,0.12,7.22,15.44,0.17,92.21,0,0.99481,10.9139,2.37465,5.24939,15.2908,330.05
Shallow,47,23.65418,91.04388,7.19,-23,1337,28.6,0.13,2.42,412.36,215.85,9.14,0.29,0,0.13,186.89,0.211,0.1,31.78,0.37,4.08,37.95,1.39,196.69,314.69,0.11,10.57,22.61,0.28,92.75,0,0.766743,3.94276,0,3.34768,9.76979,6.69
Shallow,33.3,23.65415,90.97332,7.29,-112,459,29,0.22,4.59,208.13,49.87,15.64,2.2,1594,0,181.17,0.036,0.02,22.55,2.32,5.42,31,0.09,21.48,3136.38,0.18,17.13,36.65,0.18,81.6,0,0.703014,3.97433,0,3.32954,8.38617,367.54
Shallow,27.3,23.60118,90.9805,7.25,-119,497,28.8,0.53,9.12,194.22,34.97,22.51,2.85,730,0,165.48,0.037,0.03,25.5,3.94,5.37,31.3,0.15,22.5,2643.59,0.16,20.6,44.07,0.2,55.81,0,0.850481,12.03045,0,5.30503,9.23194,233.4
Shallow,33.3,23.50476,91.00857,7.22,-111,982,26.4,0.57,4.38,308.9,152.79,18.02,0.34,409,0,217.98,0.151,0.03,30.12,3.8,7.33,36.99,0.11,130.89,2211.97,0.2,15.41,32.98,0.23,115.43,0,0.907241,4.37469,0,2.92092,14.1609,259.89
Shallow,33.3,23.51932,91.01157,6.66,-17,1286,26.8,0.91,12.74,251.56,318.64,2.01,1.3,0,3.17,229.22,0.216,0.23,44.46,4.41,5.2,22.75,1.59,201.97,196.59,0.61,17.69,37.84,0.29,97.75,0,1.54018,6.446265,0,9.56175,13.05875,10.61
Deep,212.1,23.5358,91.00585,6.33,21,1286,27.4,1.33,2.73,87.11,360.41,0.91,24.77,0,0.05,238.36,0.169,0.15,69.42,7.65,3.83,31.19,0.63,149.1,84.28,9.22,28.75,61.51,0.44,786.46,0,0.948307,5.71049,0,3.61642,15.0635,6.49
Shallow,34.8,23.55225,90.98376,7.3,-94,552,26.4,0.51,9.71,224.72,44.89,29.19,2.41,1598,0,451.97,0.063,0.05,27.01,2.05,5.32,31.32,0.11,45.74,2917.3,0.66,17.93,38.36,0.2,135.49,0,1.52831,9.161116,0,4.92101,22.2547,353.4
Shallow,81.8,23.69061,90.984,7.15,-46,500,27.4,0.13,3.53,182.02,54.2,8.22,0.56,440,0,167.08,0.1,0.02,11.33,0.95,2.92,8.99,0.03,79.62,935.8,0.08,20.71,44.31,0.09,70.44,0,0.781929,2.694655,0,2.68886,7.27268,47.4
Shallow,27.3,23.69063,90.98399,7.08,-81,360,26.8,0.44,3.99,161.04,22.26,3.39,0.25,178,0,169.09,0.02,0.02,22.09,3.41,3.48,23.67,0.17,8.39,2112.06,0.14,20.78,44.46,0.17,104.65,0,0.913154,4.42545,0,8.92573,10.7493,207.92
Shallow,27.9,23.7654,90.99466,7.23,-121,721,26.4,0.16,10.69,348.92,16.94,28.02,0.34,1009,0,221.77,0.063,0.03,39.42,3.36,7.5,42.12,0.09,45.94,2863.75,0.24,20.56,43.99,0.32,100.42,0,1.03436,4.768055,0,5.44298,14.8782,429.6
Shallow,54.5,23.78527,90.99357,7.23,-124,537,26.4,0.1,8.11,274.99,9.52,23.98,0.33,284,0,186.28,0.044,0.06,37.6,5.01,6.56,24.9,0.11,29.05,2312.56,0.22,17.33,37.08,0.25,77.42,0,1.27602,6.05112,0,5.1842,12.6222,413.87
Shallow,40.9,23.7518,90.97396,7.14,-120,688,26.4,0.17,21.7,381.62,9.64,22.2,1.25,174,2.38,193.13,0.041,0.05,51.84,6.02,6.3,47.01,0.13,25.92,2356.44,0.35,17.48,37.4,0.38,203.96,0,0.946255,4.988245,0,6.96749,13.7545,438.94
Deep,197,23.75397,90.95694,7.25,-35,961,26.6,0.43,3.22,578.52,48.31,6.88,9.73,0,0,311.03,0.265,0.02,5.46,0.83,2.98,2.07,0.03,261.58,447.66,2.34,23.76,50.83,0.03,156.92,0,1.51375,8.287755,0,3.959565,16.366,12.17
Shallow,27.9,23.76391,90.91835,7.29,-117,547,26.4,0.17,10.21,244.73,16.44,24.32,0.45,1868,0.03,542.9,0.034,0.03,31.93,2.97,5.91,33.26,0.1,19.9,3578.44,0.33,18.68,39.96,0.23,85.47,0,1.50578,5.9114,0,4.98119,17.21525,405.27
Shallow,28.8,23.76391,90.91837,7.51,-96,652,26.7,0.12,8.63,268.4,34.88,31.82,0.71,1746,0.22,471.08,0.069,0.05,30.52,3.22,6.2,35.1,0.08,50.7,3690.5,0.22,21.04,45,0.24,86.31,0,1.66587,9.074135,0,3.58353,16.5319,282.8
Shallow,21.2,23.76391,90.91837,7.66,-113,665,26.6,0.18,10.45,300.85,25.24,34.66,1.68,1241,0.25,437.07,0.075,0.03,23.84,3.29,6.77,35.52,0.09,56.33,3039.57,0.21,14.43,30.87,0.2,118.6,0,1.61449,17.4546,0,5.58639,18.6832,483.65
Shallow,33.3,23.62555,91.04642,7.13,-98,522,26.1,0.22,5.38,258.88,17.58,17.57,0.5,110,0,259.21,0.033,0.03,32.86,5.54,5.61,37.4,0.13,19.51,2094.43,0.13,16.9,36.16,0.24,73.19,0,1.1237,10.6411,0,4.33902,13.2474,333.59
Shallow,36.4,23.68381,90.91388,7.41,-125,1398,26.6,0.31,14.32,415.78,273.01,49.1,1.56,2352,0.09,113.77,0.234,0.07,31.09,7.19,10.34,47.45,0.07,223.39,5841.46,0.33,17.11,36.6,0.35,65.94,0,1.2803,3.8124,0,4.35326,16.3427,676.81
Shallow,21.2,23.62755,90.93126,7.54,-102,1606,28,0.24,19.75,479.22,306.08,41.63,1.49,3782,0.02,144.93,0.309,0.03,23.29,3,9.55,39.38,0.06,320.89,6023.93,0.37,19.37,41.44,0.26,39.92,0,1.818,3.79216,0,2.8977,7.82285,468.19
Shallow,28.8,23.62755,90.93126,7.27,-108,820,27,0.19,5.06,306.95,92.38,28.49,0.94,635,0,204.75,0.046,0.05,36.75,3.84,7.68,67.34,0.13,30.59,2771.7,0.17,18.55,39.69,0.39,84.4,0,1.06143,4.30654,0,3.35205,11.3904,360.4
Shallow,22.7,23.62625,90.90742,7.13,-103,604,27.4,0.47,6.05,281.33,37.2,11.72,1.58,0,0,394.51,0.039,0.03,38.04,8.45,5.46,39.71,0.23,24.84,1851.96,0.26,21.15,45.24,0.29,100.9,0,1.66585,5.27891,0,7.57484,15.9904,277.67
Shallow,21.2,23.56402,90.90982,7.28,-100,1103,26.4,0.21,10.78,472.38,166.68,1.7,2.34,1830,18.65,274.93,0.166,0.02,31.52,0.28,8.48,43.65,0.05,146.05,2819.18,0.24,16.66,35.64,0.28,93.25,0,1.238625,5.562,0,4.23242,14.6515,496.28
Shallow,21.2,23.55888,90.87765,7.31,-114,2220,28,0.18,11.93,716.38,474.19,1.67,0.01,2667,17.93,268.74,0.452,0.01,14.76,0.32,9.54,23.81,0.03,550.95,4276.77,0.26,12.91,27.62,0.17,55.24,0,1.79428,4.90019,0,2.65922,10.6091,446.58
Shallow,63.6,23.48338,91.05969,6.6,64.5,280,25.9,0,4.02,144.2,13.84,0,0.01,0,0.07,14.22,0.04,0.01,21.15,0.64,1.23,9.26,0.85,24.86,192.85,0.06,25.3,54.12,0.16,12.47,0,0,0.666212,0,0,0,2.6
Shallow,54.5,23.49683,91.06151,6.72,41.9,638,26.3,0.05,2.26,209.11,84.8,1.24,0.05,0,0.36,12.15,0.092,0.02,31.86,0.23,2.17,16.22,2.24,71.92,194.88,0.08,19.65,42.04,0.26,10.86,0,0,0.628455,0,0,0,2.6
Shallow,97,23.49919,91.06857,6.88,46.1,702,26.2,2,1.31,200.08,95.67,0,12.1,0,0.14,15.2,0.137,0.01,12.34,0.84,1.74,12.08,0.3,116.17,290.92,4.22,20.52,43.89,0.11,6.67,0,1.52899,0.612654,0,0,0,16.94
Shallow,36.4,23.50045,91.06044,6.62,54.6,612,25.9,0.05,3.04,196.91,81.42,1.05,0.01,310,1.3,10.13,0.069,0.07,27.82,0.08,4.06,27.41,3.62,51.16,476.52,0.1,20.03,42.84,0.25,10.71,0,0,0.547829,0,7.18916,2.20116,2.6
Shallow,114.5,23.58729,91.16384,6.42,125.7,178,26.2,1,0.6,101.26,1.64,0,2.22,0,0,7.53,0.031,0.01,13.17,0.44,1.07,5.54,0.17,17.19,65.92,0.85,25.01,53.49,0.09,7.53,0,0.491978,0,0,0,0,2.6
Shallow,29.1,23.58173,91.16961,6.3,94.7,158,26.1,0,0.62,81.74,1.54,0,0.09,0,0,7.25,0.026,0.05,11.15,2.96,1.09,4.81,0.51,13.26,172.36,0.12,25.51,54.57,0.08,16.3,0,0.680298,0,0,0,0,2.6
Shallow,75.8,23.58436,91.16827,6.26,68.7,146,26.7,0.2,0.55,83.69,1.33,0,0.92,0,0,8.54,0.027,0.01,10.7,0.07,1.05,4.71,0.09,14.28,90.78,0.4,26.18,56.01,0.08,119.65,0,0.774487,0,0,0,0,2.6
Shallow,19.7,23.57156,91.17129,6.38,55.6,616,25.9,0.8,1.42,183.97,84.07,0.82,8.73,0,0,17.45,0.049,0.27,56.23,0.35,1.58,23.06,0.92,33.34,199.59,6.49,24.09,51.53,0.47,11.76,0,6.029875,0.355441,0,4.48454,0,2.6
Shallow,29.1,23.57693,91.16265,6.64,59.5,211,26,0.3,0.75,104.92,8.56,0,2.09,0,0,9.22,0.028,0.02,19.59,0.34,1.32,6.46,0.02,15.25,243.41,0.83,20.84,44.59,0.17,12.3,0,4.54704,0.376391,0,0,0,2.6
Deep,174.2,23.57197,91.17178,6.2,69.9,169,26.3,0.2,0.86,83.94,1.91,0,0.31,0,0,9.72,0.025,0.01,11.25,6.42,1.16,5.16,0.56,12.09,108.46,0.19,28.9,61.82,0.08,164.31,0,1.85309,0,0,3.771315,0,2.6
Deep,181.8,23.56047,91.17329,6.29,58.6,172,26.2,1,0.78,91.74,1.37,0,0.8,0,0,22.38,0.025,0.02,13.82,5.14,1.46,4.56,0.43,12.23,113.64,0.39,34.34,73.46,0.11,63.04,0,26.57745,0.785668,0,0,0,2.6
Shallow,80.3,23.55915,91.17377,6.37,72.3,183,26.4,1,0.81,106.63,1.62,0,0.56,0,0,9.59,0.027,0.04,13.15,0.06,1.36,8.74,0.13,13.79,158.56,0.27,30.36,64.95,0.09,163.79,0,4.15752,0,0,0,0,2.6
Deep,221.2,23.49187,91.15001,6.75,27.9,194,25.8,0.2,0.85,106.38,1.46,0,1.38,0,0,10.99,0.026,0.05,15.64,2.14,1.45,7.46,0.12,13.55,134.39,0.58,28.43,60.82,0.11,25.56,0,4.559875,0.620289,0,0,0,2.6
Shallow,45.5,23.5052,91.14239,7.26,31.7,264,25.7,0.6,0.63,155.43,1.45,0,0.72,1323,0,18.25,0.083,0.01,0.3,0.05,0.53,0.44,0.02,63.78,1538.79,0.31,16.24,34.75,0,34.97,0,2.55939,0,0,0,0,9.03
Shallow,36.4,23.52878,91.13576,7.13,31.2,343,26.1,0.2,0.76,206.91,2.76,0,0.65,488,0,8.97,0.103,0.02,0.66,0.12,0.94,1.28,0.08,82.62,648.9,0.25,15.56,33.29,0.01,14.19,0,3.18073,0.680057,0,0,0,2.6
Deep,192.4,23.5125,91.14124,6.68,45.1,201,26.6,2,1.24,113.95,2.02,0,2.42,0,0,18.05,0.031,0.04,15.76,0.75,1.76,6.46,0.17,17.18,117.41,0.91,30.7,65.68,0.11,334.31,0,11.69235,0.936891,0,0,2.93004,2.6
Shallow,51.5,23.56467,91.12443,7.05,39.6,389,26.1,0.6,0.71,197.39,18.76,0,0.37,162,0,13.22,0.103,0.01,5.3,0.08,0.61,3.17,0.21,83.03,262.8,0.18,18.45,39.47,0.04,34.04,0,3.118605,0.503377,0,0,0,2.6
Shallow,106.1,23.55672,91.11837,6.94,43.7,296,25.8,2,0.85,177.39,1.86,0,0.29,0,0,9.83,0.071,0.02,8.74,0.86,1.29,5.26,0.14,52.79,316.72,0.17,23.04,49.29,0.06,8.65,0,3.261595,0.531883,0,0,0,5.86
Shallow,40.9,23.49951,91.10476,6.13,63.9,156,26.2,0.3,0.73,81.5,4.45,0,0.66,0,0,11.94,0.026,0.01,14.32,0.57,1.23,3.35,0.01,13.21,83.73,0.3,25.92,55.45,0.14,18.68,0,7.84166,0.355634,0,0,0,2.6
Shallow,39.4,23.53347,91.0618,6.79,32.9,312,26.4,0.6,0.62,152.01,20.71,0,3.2,518,0,11.02,0.088,0,2.94,0.12,0.5,0.97,0.33,68.25,712.27,1.14,21.95,46.96,0.02,10.76,0,3.95075,0.626642,0,0,0,7.23
Shallow,21.2,23.52598,91.06241,7.14,-49.2,504,25.3,0.5,2.3,231.56,33.93,0,0.01,0,2.56,12.91,0.038,0.01,20.59,5.58,5.9,35.43,0.28,23.69,1315.01,0.06,14.74,31.53,0.19,42.82,0,3.81808,0.44716,0,0,0,218.35
Shallow,22.7,23.47222,91.10917,6.17,18.5,202,26.2,0.5,0.74,82.72,18.47,0,0.27,0,0,8.99,0.024,0.02,20.13,1.41,1.56,5.47,0.01,11.73,105.45,0.17,23.64,50.57,0.23,15.04,0,2.545675,0,0,7.970975,0,2.6
Shallow,27.3,23.45901,91.09338,6.66,10.6,289,26.2,0.2,2.02,173.48,2.56,0,0.01,260,0.92,19.18,0.021,0.05,19.44,0.51,1.61,21.82,3.52,8.93,502.14,0.08,17.76,37.99,0.17,9.71,0,42.8275,1.293,0,5.83249,0,11.49
Shallow,83.3,23.48114,91.14662,6.77,23.7,230,25.8,1,0.83,143.23,1.16,0,0.01,0,0,18.16,0.03,0.02,17.52,1.27,1.26,9.93,0.85,16.48,107.48,0.06,25.01,53.49,0.12,34.5,0,25.8688,1.06978,0,0,0,2.6
Deep,219.7,23.46903,91.14375,6.57,32.1,214,26,1,0.87,117.36,3.81,0,5.1,0,0,13.82,0.028,0.04,16.15,3.59,1.5,7.55,0.36,14.87,187.25,1.93,32.97,70.53,0.11,36.99,0,10.1913,0.456941,0,0,0,2.6
Shallow,42.4,23.47671,91.20795,6.54,35.4,190,25.8,0.2,1.04,123.71,1.27,0,0.31,0,0,17.03,0.033,0.03,14.18,0.23,1.67,4.64,0.15,19.28,103.94,0.19,14.13,30.23,0.12,12.41,0,17.14715,0.702561,0,0,0,2.6
Shallow,48.5,23.46583,91.19472,6.36,37.6,579,26.6,0.4,1.47,232.04,61.09,0,0.31,0,0,16.07,0.053,0.13,49.64,0.38,2.37,21.4,2.94,36.43,107.47,0.18,18.63,39.86,0.33,57.53,0,8.88328,0.555397,0,10.9565,0,2.6
Deep,197,23.49833,91.16194,6.61,34.2,206,26.4,0.8,1.2,111.51,1.72,0,1.47,0,0,15.01,0.035,0.03,12.56,3.77,1.83,5.18,0.27,20.66,141.9,0.57,31.69,67.8,0.09,106.19,0,10.15041,0.583786,0,0,0,2.6
Shallow,136.4,23.46694,91.18028,6.76,32.2,200,27.5,0.8,1.18,110.04,2.01,0,3.01,0,0,20.45,0.028,0.02,15.73,2.2,1.78,6.71,0.21,15.26,230.07,1.11,27.93,59.75,0.11,21.08,0,14.7969,0.8859,0,0,0,2.6
Shallow,93.9,23.43278,91.1525,6.6,39.2,175,25.8,0.2,0.81,88.82,1.77,0,2.63,0,0,17.7,0.027,0.02,11.3,4.75,1.11,5.28,0.61,13.96,108.38,0.97,27.84,59.57,0.08,7.33,0,12.1117,1.06849,0,0,0,2.6
Shallow,42.4,23.43167,91.1525,6.68,40.6,189,25.8,0.5,1.14,106.63,2.02,0,2.43,0,0,22.11,0.028,0.02,14.6,0.5,0.93,6.88,0.02,15.27,200.79,0.91,26.82,57.37,0.11,12.28,0,18.1394,0.770587,0,0,0,2.6
Shallow,48.5,23.40917,91.17333,6.75,43.4,176,26.3,0.5,0.91,103.46,1.14,0,1.63,0,0,18.19,0.027,0.01,9.23,0.18,0.55,10.25,0.25,13.83,124.22,0.61,25.01,53.5,0.08,11.39,0,14.2205,0.683647,0,0,0,2.6
Deep,181.8,23.38127,91.23437,6.75,16.1,211,26.3,1,0.86,116.14,1.38,0,1.41,0,0,9.12,0.029,0.03,15.52,3.26,1.37,7.24,0.26,16.12,84.07,0.55,32.79,70.15,0.1,24.01,0,0.680501,0.75713,0,0,0,2.6
Shallow,81.8,23.39476,91.24833,6.54,26.7,174,25.4,0.5,0.79,96.62,1.25,0,0.3,0,0,7.97,0.028,0.02,12.62,2.61,1.16,4.87,0.38,15.12,145.47,0.15,29.85,63.87,0.09,13.35,0,1.00584,0,0,0,0,2.6
Shallow,30.3,23.38091,91.24049,6.74,14.9,243,25.6,0.5,0.89,138.1,1.42,0,0.86,0,0,9.94,0.03,0.02,20.06,2.4,1.4,9.08,0.31,16.91,207.46,0.36,28.28,60.51,0.11,10.06,0,1.00962,0,0,0,0,2.6
Deep,242.4,23.41349,91.2049,6.72,30.1,209,26.9,1,0.98,105.66,1.9,0,3.31,0,0,10.31,0.032,0.04,14.78,2.43,1.75,5.65,0.26,18.4,244.28,1.24,31.88,68.2,0.13,141.34,0,1.45522,0.422211,0,0,0,6.23
Shallow,42.4,23.4178,91.19736,6.79,10.1,208,26.5,0.5,0.85,101.75,1.82,0,0.01,0,0.79,8.33,0.027,0.04,6.09,8.97,2.12,10.28,0.16,14.32,1054.93,0.04,27.24,58.28,0.07,17.04,0,0.785223,0,0,0,0,2.6
Shallow,60.6,23.40752,91.22819,6.7,14.3,205,26.2,0.5,0.79,114.68,1.34,0,0.31,0,0,11.37,0.031,0.01,13.63,2.21,1.12,7.12,0.59,17.26,198.94,0.16,26.75,57.23,0.09,9.13,0,1.113845,0.453914,0,0,0,2.6
Shallow,106.1,23.45752,91.20561,6.62,17.9,250,26.4,0.5,1.06,140.3,3.7,0,0.01,0,0,8.32,0.035,0.03,18.49,3.17,2.05,8.04,0.27,21.36,149.89,0.02,26.78,57.3,0.13,15.96,0,0.666507,1.99891,0,0,0,2.6
Deep,181.8,23.46641,91.221,6.6,24.8,194,25.6,1,0.76,112.73,1.4,0,0.01,0,0,22.31,0.029,0.04,16.03,2.36,1.77,6.42,0.3,15.41,96.3,0.48,33.4,71.45,0.13,526.96,0,0.939129,4.85229,0,0,0,2.6
Deep,303,23.40411,91.17146,6.83,21.2,166,26.2,1,1.77,92.72,5.74,1.04,6.59,0,1.11,372.99,0.026,0.04,13.35,2.73,3.79,5.02,0.21,13.56,252.27,2.08,31.56,67.52,0.1,116.8,0,2.63501,6.36117,0,4.486605,14.1917,2.6
Shallow,24.2,23.38428,91.15897,6.53,26.8,190,25.9,0.5,1.08,118.34,5.3,1.37,3.05,0,0.66,294.71,0.03,0.04,16.78,0.61,0.9,6.03,0.85,16.22,283.55,1.13,24.02,51.38,0.1,116.27,0,1.35031,4.90032,0,3.11269,16.8232,2.6
